RFI_BTN,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R100/C0/F0,AKs:R100/C0/F0,AQs:R100/C0/F0,AJs:R100/C0/F0,ATs:R66/C0/F34,A9s:R66/C0/F34,A8s:R66/C0/F34,A7s:R66/C0/F34,A6s:R66/C0/F34,A5s:R66/C0/F34,A4s:R66/C0/F34,A3s:R66/C0/F34,A2s:R66/C0/F34
K,AKo:R100/C0/F0,KK:R100/C0/F0,KQs:R100/C0/F0,KJs:R99/C0/F1,KTs:R66/C0/F34,K9s:R10/C0/F90,K8s:R10/C0/F90,K7s:R10/C0/F90,K6s:R10/C0/F90,K5s:R10/C0/F90,K4s:R10/C0/F90,K3s:R10/C0/F90,K2s:R10/C0/F90
Q,AQo:R99/C0/F1,KQo:R99/C0/F1,QQ:R100/C0/F0,QJs:R100/C0/F0,QTs:R66/C0/F34,Q9s:R33/C0/F67,Q8s:R0/C0/F100,Q7s:R0/C0/F100,Q6s:R0/C0/F100,Q5s:R0/C0/F100,Q4s:R0/C0/F100,Q3s:R0/C0/F100,Q2s:R0/C0/F100
J,AJo:R66/C0/F34,KJo:R33/C0/F67,QJo:R66/C0/F34,JJ:R100/C0/F0,JTs:R99/C0/F1,J9s:R33/C0/F67,J8s:R10/C0/F90,J7s:R0/C0/F100,J6s:R0/C0/F100,J5s:R0/C0/F100,J4s:R0/C0/F100,J3s:R0/C0/F100,J2s:R0/C0/F100
T,ATo:R10/C0/F90,KTo:R10/C0/F90,QTo:R10/C0/F90,JTo:R33/C0/F67,TT:R100/C0/F0,T9s:R66/C0/F34,T8s:R10/C0/F90,T7s:R0/C0/F100,T6s:R0/C0/F100,T5s:R0/C0/F100,T4s:R0/C0/F100,T3s:R0/C0/F100,T2s:R0/C0/F100
9,A9o:R10/C0/F90,K9o:R0/C0/F100,Q9o:R0/C0/F100,J9o:R0/C0/F100,T9o:R10/C0/F90,99:R100/C0/F0,98s:R66/C0/F34,97s:R10/C0/F90,96s:R0/C0/F100,95s:R0/C0/F100,94s:R0/C0/F100,93s:R0/C0/F100,92s:R0/C0/F100
8,A8o:R10/C0/F90,K8o:R0/C0/F100,Q8o:R0/C0/F100,J8o:R0/C0/F100,T8o:R0/C0/F100,98o:R2/C0/F98,88:R99/C0/F1,87s:R48/C0/F52,86s:R2/C0/F98,85s:R0/C0/F100,84s:R0/C0/F100,83s:R0/C0/F100,82s:R0/C0/F100
7,A7o:R10/C0/F90,K7o:R0/C0/F100,Q7o:R0/C0/F100,J7o:R0/C0/F100,T7o:R0/C0/F100,97o:R0/C0/F100,87o:R0/C0/F100,77:R66/C0/F34,76s:R33/C0/F67,75s:R0/C0/F100,74s:R0/C0/F100,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R10/C0/F90,K6o:R0/C0/F100,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R0/C0/F100,86o:R0/C0/F100,76o:R0/C0/F100,66:R10/C0/F90,65s:R21/C0/F79,64s:R0/C0/F100,63s:R0/C0/F100,62s:R0/C0/F100
5,A5o:R10/C0/F90,K5o:R0/C0/F100,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R0/C0/F100,54s:R10/C0/F90,53s:R0/C0/F100,52s:R0/C0/F100
4,A4o:R10/C0/F90,K4o:R0/C0/F100,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R0/C0/F100,43s:R0/C0/F100,42s:R0/C0/F100
3,A3o:R10/C0/F90,K3o:R0/C0/F100,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R0/C0/F100,32s:R0/C0/F100
2,A2o:R10/C0/F90,K2o:R0/C0/F100,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R0/C0/F100
