RFI_UTG1,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R100/C0/F0,AKs:R100/C0/F0,AQs:R100/C0/F0,AJs:R100/C0/F0,ATs:R100/C0/F0,A9s:R61/C0/F39,A8s:R51/C0/F49,A7s:R42/C0/F58,A6s:R32/C0/F68,A5s:R23/C0/F77,A4s:R13/C0/F87,A3s:R4/C0/F96,A2s:R0/C0/F100
K,AKo:R51/C0/F49,KK:R100/C0/F0,KQs:R100/C0/F0,KJs:R76/C0/F24,KTs:R39/C0/F61,K9s:R0/C0/F100,K8s:R0/C0/F100,K7s:R0/C0/F100,K6s:R0/C0/F100,K5s:R0/C0/F100,K4s:R0/C0/F100,K3s:R0/C0/F100,K2s:R0/C0/F100
Q,AQo:R45/C0/F55,KQo:R0/C0/F100,QQ:R100/C0/F0,QJs:R99/C0/F1,QTs:R53/C0/F47,Q9s:R0/C0/F100,Q8s:R0/C0/F100,Q7s:R0/C0/F100,Q6s:R0/C0/F100,Q5s:R0/C0/F100,Q4s:R0/C0/F100,Q3s:R0/C0/F100,Q2s:R0/C0/F100
J,AJo:R15/C0/F85,KJo:R0/C0/F100,QJo:R0/C0/F100,JJ:R100/C0/F0,JTs:R76/C0/F24,J9s:R0/C0/F100,J8s:R0/C0/F100,J7s:R0/C0/F100,J6s:R0/C0/F100,J5s:R0/C0/F100,J4s:R0/C0/F100,J3s:R0/C0/F100,J2s:R0/C0/F100
T,ATo:R0/C0/F100,KTo:R0/C0/F100,QTo:R0/C0/F100,JTo:R0/C0/F100,TT:R100/C0/F0,T9s:R0/C0/F100,T8s:R0/C0/F100,T7s:R0/C0/F100,T6s:R0/C0/F100,T5s:R0/C0/F100,T4s:R0/C0/F100,T3s:R0/C0/F100,T2s:R0/C0/F100
9,A9o:R0/C0/F100,K9o:R0/C0/F100,Q9o:R0/C0/F100,J9o:R0/C0/F100,T9o:R0/C0/F100,99:R91/C0/F9,98s:R0/C0/F100,97s:R0/C0/F100,96s:R0/C0/F100,95s:R0/C0/F100,94s:R0/C0/F100,93s:R0/C0/F100,92s:R0/C0/F100
8,A8o:R0/C0/F100,K8o:R0/C0/F100,Q8o:R0/C0/F100,J8o:R0/C0/F100,T8o:R0/C0/F100,98o:R0/C0/F100,88:R74/C0/F26,87s:R0/C0/F100,86s:R0/C0/F100,85s:R0/C0/F100,84s:R0/C0/F100,83s:R0/C0/F100,82s:R0/C0/F100
7,A7o:R0/C0/F100,K7o:R0/C0/F100,Q7o:R0/C0/F100,J7o:R0/C0/F100,T7o:R0/C0/F100,97o:R0/C0/F100,87o:R0/C0/F100,77:R57/C0/F43,76s:R0/C0/F100,75s:R0/C0/F100,74s:R0/C0/F100,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R0/C0/F100,K6o:R0/C0/F100,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R0/C0/F100,86o:R0/C0/F100,76o:R0/C0/F100,66:R40/C0/F60,65s:R0/C0/F100,64s:R0/C0/F100,63s:R0/C0/F100,62s:R0/C0/F100
5,A5o:R0/C0/F100,K5o:R0/C0/F100,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R23/C0/F77,54s:R0/C0/F100,53s:R0/C0/F100,52s:R0/C0/F100
4,A4o:R0/C0/F100,K4o:R0/C0/F100,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R6/C0/F94,43s:R0/C0/F100,42s:R0/C0/F100
3,A3o:R0/C0/F100,K3o:R0/C0/F100,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R0/C0/F100,32s:R0/C0/F100
2,A2o:R0/C0/F100,K2o:R0/C0/F100,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R0/C0/F100
